date;value
18.04.2014;472,5
19.04.2014;494,94
20.04.2014;489,53
21.04.2014;483,65
22.04.2014;473
23.04.2014;479,9
24.04.2014;492,67
25.04.2014;450,77
26.04.2014;447,82
27.04.2014;425,36
28.04.2014;429,52
29.04.2014;438,88
30.04.2014;438,38
01.05.2014;448,99
02.05.2014;436
03.05.2014;433,63
04.05.2014;428,89
05.05.2014;425,76
06.05.2014;421
07.05.2014;428,24
08.05.2014;429,04
09.05.2014;442
10.05.2014;445,12
11.05.2014;434,81
12.05.2014;433,95
13.05.2014;433,36
14.05.2014;435,7
15.05.2014;439,8
16.05.2014;438,89
17.05.2014;440,95
18.05.2014;439,43
19.05.2014;437,85
20.05.2014;477,9
21.05.2014;480
22.05.2014;521,94
23.05.2014;511,99
24.05.2014;519,51
25.05.2014;564,01
26.05.2014;576
27.05.2014;561,5
28.05.2014;564,21
29.05.2014;557,22
30.05.2014;608
31.05.2014;615
01.06.2014;628,53
02.06.2014;647,89
03.06.2014;657,01
04.06.2014;627,05
05.06.2014;649
06.06.2014;639,42
07.06.2014;644,86
08.06.2014;644,54
09.06.2014;639,24
10.06.2014;644,1
11.06.2014;623,29
12.06.2014;576
13.06.2014;597,01
14.06.2014;571,13
15.06.2014;592
16.06.2014;585,62
17.06.2014;602,33
18.06.2014;599,49
19.06.2014;588
20.06.2014;585
21.06.2014;586,67
22.06.2014;593,79
23.06.2014;584,99
24.06.2014;569,58
25.06.2014;560,64
26.06.2014;576,82
27.06.2014;598,23
28.06.2014;588,25
29.06.2014;595
30.06.2014;638,15
01.07.2014;629
02.07.2014;641,11
03.07.2014;636,92
04.07.2014;626,24
05.07.2014;627,99
06.07.2014;630,31
07.07.2014;617,58
08.07.2014;615,78
09.07.2014;615,78
10.07.2014;609,66
11.07.2014;623,01
12.07.2014;627
13.07.2014;623
14.07.2014;618,51
15.07.2014;614,67
16.07.2014;611,23
17.07.2014;617
18.07.2014;620,39
19.07.2014;619,8
20.07.2014;616
21.07.2014;614,99
22.07.2014;613,53
23.07.2014;610,86
24.07.2014;593,03
25.07.2014;596,68
26.07.2014;590
27.07.2014;586,49
28.07.2014;577,63
29.07.2014;577,83
30.07.2014;564,83
31.07.2014;577,68
01.08.2014;591
02.08.2014;581,89
03.08.2014;579,55
04.08.2014;580,04
05.08.2014;579,69
06.08.2014;579,16
07.08.2014;584,23
08.08.2014;587,6
09.08.2014;585,16
10.08.2014;586,1
11.08.2014;572
12.08.2014;565,83
13.08.2014;537,29
14.08.2014;506,78
15.08.2014;494,46
16.08.2014;514,59
17.08.2014;487
18.08.2014;440,05
19.08.2014;480
20.08.2014;506,72
21.08.2014;507,82
22.08.2014;510
23.08.2014;492,99
24.08.2014;505,01
25.08.2014;498,22
26.08.2014;509,94
27.08.2014;508,26
28.08.2014;502,65
29.08.2014;503,5
30.08.2014;497,2
31.08.2014;475,9
01.09.2014;472,66
02.09.2014;473,98
03.09.2014;470,01
04.09.2014;488,97
05.09.2014;477,89
06.09.2014;482,17
07.09.2014;477,91
08.09.2014;472
09.09.2014;466,9
10.09.2014;473,74
11.09.2014;472,79
12.09.2014;469,5
13.09.2014;472,98
14.09.2014;469,68
15.09.2014;465,46
16.09.2014;456,89
17.09.2014;447,93
18.09.2014;415,45
19.09.2014;382,58
20.09.2014;401
21.09.2014;385,12
22.09.2014;386,96
23.09.2014;425,31
24.09.2014;410,55
25.09.2014;404
26.09.2014;395
27.09.2014;391
28.09.2014;370
29.09.2014;368,82
30.09.2014;382,97
01.10.2014;374,7
02.10.2014;366,31
03.10.2014;342,58
04.10.2014;316,75
05.10.2014;315,88
06.10.2014;325
07.10.2014;330
08.10.2014;352
09.10.2014;360,97
10.10.2014;353,58
11.10.2014;355,01
12.10.2014;375
13.10.2014;385
14.10.2014;397,39
15.10.2014;387,04
16.10.2014;376,08
17.10.2014;378,4
18.10.2014;385,94
19.10.2014;384,98
20.10.2014;377,07
21.10.2014;381
22.10.2014;377,07
23.10.2014;354,17
24.10.2014;352,1
25.10.2014;347,37
26.10.2014;350,24
27.10.2014;347,87
28.10.2014;349,87
29.10.2014;331,08
30.10.2014;342,69
31.10.2014;335,07
01.11.2014;323,14
02.11.2014;323,51
03.11.2014;322
04.11.2014;325,5
05.11.2014;334,89
06.11.2014;344
07.11.2014;338,72
08.11.2014;341,37
09.11.2014;362,1
10.11.2014;363,02
11.11.2014;364
12.11.2014;421
13.11.2014;413,15
14.11.2014;396,35
15.11.2014;373,57
16.11.2014;384,14
17.11.2014;382,03
18.11.2014;369,99
19.11.2014;376,6
20.11.2014;355,37
21.11.2014;345,36
22.11.2014;350
23.11.2014;364,98
24.11.2014;373,5
25.11.2014;371,2
26.11.2014;364,23
27.11.2014;366,02
28.11.2014;373
29.11.2014;373,99
30.11.2014;374,39
01.12.2014;376,55
02.12.2014;377,5
03.12.2014;370,12
04.12.2014;364
05.12.2014;369,99
06.12.2014;369,13
07.12.2014;367,57
08.12.2014;356,99
09.12.2014;345,92
10.12.2014;340
11.12.2014;341,49
12.12.2014;346
13.12.2014;342,57
14.12.2014;343,06
15.12.2014;338,45
16.12.2014;320,41
17.12.2014;319
18.12.2014;311,31
19.12.2014;314,99
20.12.2014;328
21.12.2014;317
22.12.2014;328,7
23.12.2014;330
24.12.2014;319,01
25.12.2014;316,52
26.12.2014;324,96
27.12.2014;313
28.12.2014;313,77
29.12.2014;311,34
30.12.2014;308,5
31.12.2014;316,77
01.01.2015;314,25
02.01.2015;315,03
03.01.2015;281,08
04.01.2015;264,19
05.01.2015;274,47
06.01.2015;286,19
07.01.2015;294,34
08.01.2015;283,35
09.01.2015;290,41
10.01.2015;274,8
11.01.2015;265,66
12.01.2015;267,8
13.01.2015;225,86
14.01.2015;178,1
15.01.2015;209,84
16.01.2015;208,1
17.01.2015;199,26
18.01.2015;210,34
19.01.2015;214,86
20.01.2015;211,31
21.01.2015;226,9
22.01.2015;233,41
23.01.2015;232,88
24.01.2015;247,85
25.01.2015;253,72
26.01.2015;273,47
27.01.2015;263,48
28.01.2015;233,91
29.01.2015;233,51
30.01.2015;226,43
31.01.2015;217,46
01.02.2015;226,97
02.02.2015;238,23
03.02.2015;227,27
04.02.2015;226,85
05.02.2015;217,11
06.02.2015;222,27
07.02.2015;227,75
08.02.2015;223,41
09.02.2015;220,11
10.02.2015;219,84
11.02.2015;219,19
12.02.2015;221,76
13.02.2015;235,43
14.02.2015;257,32
15.02.2015;234,82
16.02.2015;233,84
17.02.2015;243,61
18.02.2015;236,33
19.02.2015;240,28
20.02.2015;243,78
21.02.2015;244,53
22.02.2015;235,98
23.02.2015;238,89
24.02.2015;238,74
25.02.2015;237,47
26.02.2015;236,43
27.02.2015;253,83
28.02.2015;254,26
01.03.2015;260,2
02.03.2015;275,67
03.03.2015;281,7
04.03.2015;273,09
05.03.2015;276,18
06.03.2015;272,72
07.03.2015;276,26
08.03.2015;274,35
09.03.2015;289,61
10.03.2015;291,76
11.03.2015;296,38
12.03.2015;294,35
13.03.2015;285,34
14.03.2015;281,88
15.03.2015;286,39
16.03.2015;290,59
17.03.2015;285,5
18.03.2015;256,3
19.03.2015;260,93
20.03.2015;261,75
21.03.2015;260,02
22.03.2015;267,96
23.03.2015;266,74
24.03.2015;245,59
25.03.2015;246,2
26.03.2015;248,53
27.03.2015;247,03
28.03.2015;252,8
29.03.2015;242,71
30.03.2015;247,53
31.03.2015;244,22
01.04.2015;247,27
02.04.2015;253
03.04.2015;254,32
04.04.2015;253,7
05.04.2015;260,6
06.04.2015;255,49
